train_01_116,train_01_190,train_06_229,train_01_312,train_01_120,train_03_57,train_07_78,train_03_192,train_02_69,train_08_304,train_09_A_97,train_02_320,train_03_243,train_07_133,train_06_26,train_02_305,train_02_314,train_04_270,train_03_7,train_02_143
"[0, 0, 0]","[0, 0, 0]","[0, 1, 1]","[0, 1, 0]","[0, 1, 1]","[0, 1, 0]","[0, 1, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 1, 0]","[0, 1, 0]","[0, 1, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 1, 0]","[0, 0, 0]","[0, 1, 0]"
"[0, 0, 0]","[0, 0, 0]","[0, 1, 1]","[0, 0, 1]","[0, 1, 1]","[0, 0, 0]","[0, 0, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 1]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 1]","[0, 0, 0]"
"[1, 0, 0]","[1, 0, 0]","[1, 0, 1]","[1, 0, 0]","[1, 1, 1]","[1, 0, 0]","[1, 0, 0]","[1, 0, 0]","[1, 0, 0]","[1, 0, 0]","[1, 0, 0]","[1, 0, 0]","[1, 0, 0]","[1, 1, 0]","[1, 0, 0]","[1, 0, 0]","[1, 0, 0]","[1, 0, 0]","[1, 0, 0]","[1, 0, 0]"
